"Date","Industry","Value"
1970-04-01,"U.S. Postal Service",0.7362
1970-05-01,"U.S. Postal Service",0.7367
1970-06-01,"U.S. Postal Service",0.7398
1970-07-01,"U.S. Postal Service",0.7436
1970-08-01,"U.S. Postal Service",0.7404
1970-09-01,"U.S. Postal Service",0.7433
1970-10-01,"U.S. Postal Service",0.743
1970-11-01,"U.S. Postal Service",0.745
1970-12-01,"U.S. Postal Service",0.7599
1971-01-01,"U.S. Postal Service",0.7411
1971-02-01,"U.S. Postal Service",0.7389
1971-03-01,"U.S. Postal Service",0.7381
1971-04-01,"U.S. Postal Service",0.7362
1971-05-01,"U.S. Postal Service",0.734
1971-06-01,"U.S. Postal Service",0.728
1971-07-01,"U.S. Postal Service",0.7284
1971-08-01,"U.S. Postal Service",0.7291
1971-09-01,"U.S. Postal Service",0.7282
1971-10-01,"U.S. Postal Service",0.728
1971-11-01,"U.S. Postal Service",0.7252
1971-12-01,"U.S. Postal Service",0.7237
1972-01-01,"U.S. Postal Service",0.7253
1972-02-01,"U.S. Postal Service",0.7232
1972-03-01,"U.S. Postal Service",0.7232
1972-04-01,"U.S. Postal Service",0.7208
1972-05-01,"U.S. Postal Service",0.7154
1972-06-01,"U.S. Postal Service",0.706
1972-07-01,"U.S. Postal Service",0.6861
1972-08-01,"U.S. Postal Service",0.6866
1972-09-01,"U.S. Postal Service",0.6883
1972-10-01,"U.S. Postal Service",0.6863
1972-11-01,"U.S. Postal Service",0.684
1972-12-01,"U.S. Postal Service",0.6908
1973-01-01,"U.S. Postal Service",0.683
1973-02-01,"U.S. Postal Service",0.6883
1973-03-01,"U.S. Postal Service",0.6928
1973-04-01,"U.S. Postal Service",0.6917
1973-05-01,"U.S. Postal Service",0.6944
1973-06-01,"U.S. Postal Service",0.6981
1973-07-01,"U.S. Postal Service",0.6926
1973-08-01,"U.S. Postal Service",0.6971
1973-09-01,"U.S. Postal Service",0.7008
1973-10-01,"U.S. Postal Service",0.7033
1973-11-01,"U.S. Postal Service",0.7078
1973-12-01,"U.S. Postal Service",0.7226
1974-01-01,"U.S. Postal Service",0.7123
1974-02-01,"U.S. Postal Service",0.7116
1974-03-01,"U.S. Postal Service",0.7099
1974-04-01,"U.S. Postal Service",0.7094
1974-05-01,"U.S. Postal Service",0.7087
1974-06-01,"U.S. Postal Service",0.7077
1974-07-01,"U.S. Postal Service",0.7088
1974-08-01,"U.S. Postal Service",0.7085
1974-09-01,"U.S. Postal Service",0.7078
1974-10-01,"U.S. Postal Service",0.7091
1974-11-01,"U.S. Postal Service",0.7068
1974-12-01,"U.S. Postal Service",0.7155
1975-01-01,"U.S. Postal Service",0.7073
1975-02-01,"U.S. Postal Service",0.7036
1975-03-01,"U.S. Postal Service",0.703
1975-04-01,"U.S. Postal Service",0.7018
1975-05-01,"U.S. Postal Service",0.7018
1975-06-01,"U.S. Postal Service",0.7003
1975-07-01,"U.S. Postal Service",0.6998
1975-08-01,"U.S. Postal Service",0.6974
1975-09-01,"U.S. Postal Service",0.6971
1975-10-01,"U.S. Postal Service",0.693
1975-11-01,"U.S. Postal Service",0.6933
1975-12-01,"U.S. Postal Service",0.6884
1976-01-01,"U.S. Postal Service",0.6846
1976-02-01,"U.S. Postal Service",0.6851
1976-03-01,"U.S. Postal Service",0.6819
1976-04-01,"U.S. Postal Service",0.6792
1976-05-01,"U.S. Postal Service",0.6781
1976-06-01,"U.S. Postal Service",0.6782
1976-07-01,"U.S. Postal Service",0.6747
1976-08-01,"U.S. Postal Service",0.6734
1976-09-01,"U.S. Postal Service",0.6701
1976-10-01,"U.S. Postal Service",0.6684
1976-11-01,"U.S. Postal Service",0.6721
1976-12-01,"U.S. Postal Service",0.664
